Category,Sub-Category,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,not_out,HS_numeric,is_outlier,has_batting_data
Career Averages,Overall,2008-2026,559,626.0,91.0,28215.0,254*,52.73,35435.0,79.62,85.0,146.0,40.0,2772.0,322.0,True,254.0,False,True
In Format,Test matches,2011-2025,123,210.0,13.0,9230.0,254*,46.85,16608.0,55.57,30.0,31.0,15.0,1027.0,30.0,True,254.0,False,True
In Format,One-Day Internationals,2008-2026,311,299.0,47.0,14797.0,183,58.71,15771.0,93.82,54.0,77.0,18.0,1376.0,168.0,False,183.0,False,True
In Format,Twenty20 Internationals,2010-2024,125,117.0,31.0,4188.0,122*,48.69,3056.0,137.04,1.0,38.0,7.0,369.0,124.0,True,122.0,False,True
vs Team,vs Afghanistan,2012-2024,9,7.0,2.0,347.0,122*,69.4,260.0,133.46,1.0,3.0,1.0,32.0,9.0,True,122.0,False,True
vs Team,vs Australia,2009-2025,106,126.0,12.0,5551.0,186,48.69,7558.0,73.44,17.0,29.0,9.0,521.0,58.0,False,186.0,False,True
vs Team,vs Bangladesh,2010-2025,31,36.0,9.0,1698.0,204,62.88,1866.0,90.99,7.0,5.0,1.0,164.0,19.0,False,204.0,False,True
vs Team,vs England,2011-2025,87,109.0,11.0,4036.0,235,41.18,5887.0,68.55,8.0,24.0,11.0,431.0,34.0,False,235.0,False,True
vs Team,vs Hong Kong,2022-2022,1,1.0,1.0,59.0,59*,,44.0,134.09,0.0,1.0,0.0,1.0,3.0,True,59.0,False,True
vs Team,vs Ireland,2011-2024,5,5.0,1.0,88.0,44*,22.0,110.0,80.0,0.0,0.0,1.0,8.0,1.0,True,44.0,False,True
vs Team,vs Namibia,2021-2021,1,,,,-,,,,,,,,,False,,False,False
vs Team,vs Nepal,2023-2023,1,,,,-,,,,,,,,,False,,False,False
vs Team,vs Netherlands,2011-2023,3,3.0,1.0,125.0,62*,62.5,120.0,104.16,0.0,2.0,0.0,10.0,3.0,True,62.0,False,True
vs Team,vs New Zealand,2010-2026,60,73.0,6.0,3167.0,211,47.26,3966.0,79.85,10.0,16.0,3.0,313.0,40.0,False,211.0,False,True
vs Team,vs Pakistan,2009-2025,28,28.0,8.0,1270.0,183,63.5,1184.0,107.26,4.0,7.0,1.0,119.0,18.0,False,183.0,False,True
vs Team,vs Scotland,2021-2021,1,1.0,1.0,2.0,2*,,2.0,100.0,0.0,0.0,0.0,0.0,0.0,True,2.0,False,True
vs Team,vs South Africa,2010-2025,64,73.0,12.0,3608.0,254*,59.14,4767.0,75.68,10.0,17.0,2.0,361.0,47.0,True,254.0,False,True
vs Team,vs Sri Lanka,2008-2024,75,79.0,14.0,4076.0,243,62.7,4665.0,87.37,15.0,18.0,4.0,390.0,41.0,False,243.0,False,True
vs Team,vs U.A.E.,2015-2016,2,1.0,1.0,33.0,33*,,41.0,80.48,0.0,0.0,0.0,5.0,0.0,True,33.0,False,True
vs Team,vs U.S.A.,2024-2024,1,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,True,True
vs Team,vs West Indies,2009-2023,73,75.0,10.0,3850.0,200,59.23,4627.0,83.2,12.0,23.0,5.0,387.0,46.0,False,200.0,False,True
vs Team,vs Zimbabwe,2010-2022,11,8.0,2.0,305.0,115,50.83,337.0,90.5,1.0,1.0,1.0,30.0,3.0,False,115.0,False,True
In Host Country,in Australia,2011-2025,67,82.0,11.0,3690.0,169,51.97,5052.0,73.04,12.0,20.0,4.0,338.0,37.0,False,169.0,False,True
In Host Country,in Bangladesh,2010-2022,33,33.0,9.0,1628.0,183,67.83,1616.0,100.74,6.0,8.0,0.0,156.0,19.0,False,183.0,False,True
In Host Country,in England,2011-2023,57,73.0,8.0,2637.0,149,40.56,3734.0,70.62,3.0,18.0,6.0,264.0,18.0,False,149.0,False,True
In Host Country,in India,2009-2026,231,259.0,40.0,12780.0,254*,58.35,15403.0,82.97,41.0,63.0,19.0,1265.0,167.0,True,254.0,False,True
In Host Country,in Ireland,2018-2018,2,2.0,0.0,9.0,9,4.5,10.0,90.0,0.0,0.0,1.0,1.0,0.0,False,9.0,False,True
In Host Country,in New Zealand,2014-2020,21,25.0,2.0,953.0,123,41.43,1170.0,81.45,2.0,5.0,0.0,101.0,13.0,False,123.0,False,True
In Host Country,in South Africa,2009-2024,33,39.0,5.0,1939.0,160*,57.02,2817.0,68.83,5.0,10.0,2.0,216.0,15.0,True,160.0,False,True
In Host Country,in Sri Lanka,2008-2024,44,46.0,7.0,1815.0,131,46.53,2188.0,82.95,7.0,7.0,1.0,185.0,16.0,False,131.0,False,True
In Host Country,in U.A.E.,2021-2025,15,13.0,4.0,562.0,122*,62.44,518.0,108.49,2.0,4.0,1.0,40.0,12.0,True,122.0,False,True
In Host Country,in U.S.A.,2016-2024,7,6.0,0.0,68.0,28,11.33,70.0,97.14,0.0,0.0,1.0,6.0,1.0,False,28.0,False,True
In Host Country,in West Indies,2011-2024,38,40.0,3.0,1743.0,200,47.1,2406.0,72.44,6.0,8.0,4.0,167.0,21.0,False,200.0,False,True
In Host Country,in Zimbabwe,2010-2013,11,8.0,2.0,391.0,115,65.16,451.0,86.69,1.0,3.0,1.0,33.0,3.0,False,115.0,False,True
In Continent,in Africa,2009-2024,44,47.0,7.0,2330.0,160*,58.25,3268.0,71.29,6.0,13.0,3.0,249.0,18.0,True,160.0,False,True
In Continent,in Americas,2011-2024,45,46.0,3.0,1811.0,200,42.11,2476.0,73.14,6.0,8.0,5.0,173.0,22.0,False,200.0,False,True
In Continent,in Asia,2008-2026,323,351.0,60.0,16785.0,254*,57.68,19725.0,85.09,56.0,82.0,21.0,1646.0,214.0,True,254.0,False,True
In Continent,in Europe,2011-2023,59,75.0,8.0,2646.0,149,39.49,3744.0,70.67,3.0,18.0,7.0,265.0,18.0,False,149.0,False,True
In Continent,in Oceania,2011-2025,88,107.0,13.0,4643.0,169,49.39,6222.0,74.62,14.0,25.0,4.0,439.0,50.0,False,169.0,False,True
Home vs Away,home,2009-2026,231,259.0,40.0,12780.0,254*,58.35,15403.0,82.97,41.0,63.0,19.0,1265.0,167.0,True,254.0,False,True
Home vs Away,away,2008-2025,229,273.0,28.0,11447.0,200,46.72,15944.0,71.79,37.0,54.0,18.0,1160.0,96.0,False,200.0,False,True
Home vs Away,neutral,2009-2025,99,94.0,23.0,3988.0,183,56.16,4088.0,97.55,7.0,29.0,3.0,347.0,59.0,False,183.0,False,True
By Year,2008,2008-2008,5,5.0,0.0,159.0,54,31.8,239.0,66.52,0.0,1.0,0.0,21.0,1.0,False,54.0,False,True
By Year,2009,2009-2009,10,8.0,2.0,325.0,107,54.16,385.0,84.41,1.0,2.0,0.0,36.0,3.0,False,107.0,False,True
By Year,2010,2010-2010,27,25.0,4.0,1021.0,118,48.61,1190.0,85.79,3.0,7.0,3.0,93.0,5.0,False,118.0,False,True
By Year,2011,2011-2011,43,47.0,5.0,1644.0,117,39.14,2139.0,76.85,4.0,10.0,4.0,152.0,9.0,False,117.0,False,True
By Year,2012,2012-2012,40,46.0,5.0,2186.0,183,53.31,2923.0,74.78,8.0,10.0,1.0,238.0,14.0,False,183.0,False,True
By Year,2013,2013-2013,43,43.0,7.0,1913.0,119,53.13,2449.0,78.11,6.0,10.0,3.0,212.0,23.0,False,119.0,False,True
By Year,2014,2014-2014,38,47.0,6.0,2286.0,169,55.75,2745.0,83.27,8.0,12.0,3.0,228.0,33.0,False,169.0,False,True
By Year,2015,2015-2015,31,37.0,3.0,1307.0,147,38.44,1985.0,65.84,4.0,3.0,0.0,119.0,12.0,False,147.0,False,True
By Year,2016,2016-2016,37,41.0,11.0,2595.0,235,86.5,3207.0,80.91,7.0,13.0,0.0,266.0,19.0,False,235.0,False,True
By Year,2017,2017-2017,46,52.0,11.0,2818.0,243,68.73,3058.0,92.15,11.0,10.0,5.0,265.0,36.0,False,243.0,False,True
By Year,2018,2018-2018,37,47.0,7.0,2735.0,160*,68.37,3778.0,72.39,11.0,9.0,3.0,277.0,23.0,True,160.0,False,True
By Year,2019,2019-2019,44,46.0,8.0,2455.0,254*,64.6,2711.0,90.55,7.0,14.0,3.0,240.0,34.0,True,254.0,False,True
By Year,2020,2020-2020,22,24.0,1.0,842.0,89,36.6,958.0,87.89,0.0,7.0,0.0,68.0,15.0,False,89.0,False,True
By Year,2021,2021-2021,24,30.0,4.0,964.0,80*,37.07,1590.0,60.62,0.0,10.0,5.0,95.0,12.0,True,80.0,False,True
By Year,2022,2022-2022,37,42.0,7.0,1348.0,122*,38.51,1584.0,85.1,2.0,11.0,3.0,131.0,29.0,True,122.0,False,True
By Year,2023,2023-2023,35,36.0,5.0,2048.0,186,66.06,2615.0,78.31,8.0,10.0,1.0,192.0,25.0,False,186.0,False,True
By Year,2024,2024-2024,23,32.0,2.0,655.0,100*,21.83,893.0,73.34,1.0,2.0,4.0,64.0,12.0,True,100.0,False,True
By Year,2025,2025-2025,14,15.0,3.0,674.0,135,56.16,758.0,88.91,3.0,4.0,2.0,55.0,13.0,False,135.0,False,True
By Year,2026,2026-2026,3,3.0,0.0,240.0,124,80.0,228.0,105.26,1.0,1.0,0.0,20.0,4.0,False,124.0,False,True
Toss,won the toss,2008-2026,254,281.0,46.0,12794.0,254*,54.44,15785.0,81.05,36.0,67.0,14.0,1291.0,141.0,True,254.0,False,True
Toss,lost the toss,2008-2026,305,345.0,45.0,15421.0,235,51.4,19650.0,78.47,49.0,79.0,26.0,1481.0,181.0,False,235.0,False,True
Toss & Batting,won toss & batted,2008-2025,121,159.0,12.0,6832.0,254*,46.47,9923.0,68.85,20.0,31.0,10.0,678.0,49.0,True,254.0,False,True
Toss & Batting,won toss & fielded,2008-2026,132,122.0,34.0,5962.0,154*,67.75,5862.0,101.7,16.0,36.0,4.0,613.0,92.0,True,154.0,False,True
Toss & Batting,lost toss & sent in,2009-2026,154,172.0,19.0,6711.0,160*,43.86,7534.0,89.07,19.0,39.0,19.0,625.0,112.0,True,160.0,False,True
Toss & Batting,lost toss & fielded,2008-2025,151,173.0,26.0,8710.0,235,59.25,12116.0,71.88,30.0,40.0,7.0,856.0,69.0,False,235.0,False,True
Batting/Fielding First,matches batting first,2008-2026,275,331.0,31.0,13543.0,254*,45.14,17457.0,77.57,39.0,70.0,29.0,1303.0,161.0,True,254.0,False,True
Batting/Fielding First,matches fielding first,2008-2026,283,295.0,60.0,14672.0,235,62.43,17978.0,81.61,46.0,76.0,11.0,1469.0,161.0,False,235.0,False,True
In Team Innings,1st team innings,2008-2026,552,537.0,80.0,25242.0,254*,55.23,29998.0,84.14,79.0,129.0,35.0,2441.0,308.0,True,254.0,False,True
In Team Innings,2nd team innings,2011-2025,96,89.0,11.0,2973.0,141,38.11,5437.0,54.68,6.0,17.0,5.0,331.0,14.0,False,141.0,False,True
In Match Innings,1st match innings,2008-2026,275,273.0,25.0,11658.0,254*,47.0,13901.0,83.86,35.0,60.0,26.0,1101.0,150.0,True,254.0,False,True
In Match Innings,2nd match innings,2008-2026,277,264.0,55.0,13584.0,235,64.99,16097.0,84.38,44.0,69.0,9.0,1340.0,158.0,False,235.0,False,True
In Match Innings,3rd match innings,2011-2025,58,57.0,5.0,1871.0,104*,35.98,3535.0,52.92,4.0,10.0,3.0,199.0,11.0,True,104.0,False,True
In Match Innings,4th match innings,2011-2024,38,32.0,6.0,1102.0,141,42.38,1902.0,57.93,2.0,7.0,2.0,132.0,3.0,False,141.0,False,True
In Match Type,day match,2008-2025,219,296.0,27.0,12438.0,254*,46.23,19857.0,62.63,35.0,55.0,26.0,1318.0,71.0,True,254.0,False,True
In Match Type,day/night match,2008-2026,260,255.0,37.0,12782.0,183,58.63,13450.0,95.03,49.0,61.0,10.0,1207.0,154.0,False,183.0,False,True
In Match Type,night match,2011-2024,80,75.0,27.0,2995.0,122*,62.39,2128.0,140.74,1.0,30.0,4.0,247.0,97.0,True,122.0,False,True
Match Result,won match,2008-2026,335,364.0,81.0,18416.0,254*,65.07,21379.0,86.14,59.0,91.0,20.0,1806.0,232.0,True,254.0,False,True
Match Result,lost match,2008-2026,181,219.0,4.0,7489.0,153,34.83,10170.0,73.63,16.0,49.0,16.0,733.0,79.0,False,153.0,False,True
Match Result,tied match,2011-2024,9,9.0,1.0,275.0,157*,34.37,284.0,96.83,1.0,0.0,1.0,23.0,5.0,True,157.0,False,True
Match Result,drawn match,2011-2024,22,30.0,3.0,1941.0,243,71.88,3466.0,56.0,9.0,5.0,3.0,204.0,6.0,False,243.0,False,True
Match Result,no result,2009-2023,12,4.0,2.0,94.0,55,47.0,136.0,69.11,0.0,1.0,0.0,6.0,0.0,False,55.0,False,True
Result & Batting,won batting first,2008-2025,161,191.0,24.0,8987.0,254*,53.81,11143.0,80.65,30.0,41.0,14.0,860.0,111.0,True,254.0,False,True
Result & Batting,won fielding first,2008-2026,174,173.0,57.0,9429.0,235,81.28,10236.0,92.11,29.0,50.0,6.0,946.0,121.0,False,235.0,False,True
Result & Batting,lost batting first,2008-2026,96,117.0,3.0,3426.0,121,30.05,4689.0,73.06,4.0,26.0,12.0,332.0,42.0,False,121.0,False,True
Result & Batting,lost fielding first,2008-2026,85,102.0,1.0,4063.0,153,40.22,5481.0,74.12,12.0,23.0,4.0,401.0,37.0,False,153.0,False,True
Result & Batting,tied batting first,2011-2024,6,6.0,1.0,230.0,157*,46.0,207.0,111.11,1.0,0.0,1.0,19.0,5.0,True,157.0,False,True
Result & Batting,tied fielding first,2012-2024,3,3.0,0.0,45.0,24,15.0,77.0,58.44,0.0,0.0,0.0,4.0,0.0,False,24.0,False,True
Result & Batting,drawn batting first,2011-2023,8,13.0,1.0,806.0,243,67.16,1282.0,62.87,4.0,2.0,2.0,86.0,3.0,False,243.0,False,True
Result & Batting,drawn fielding first,2011-2024,14,17.0,2.0,1135.0,186,75.66,2184.0,51.96,5.0,3.0,1.0,118.0,3.0,False,186.0,False,True
Result & Batting,no result batting first,2011-2023,4,4.0,2.0,94.0,55,47.0,136.0,69.11,0.0,1.0,0.0,6.0,0.0,False,55.0,False,True
Result & Batting,no result fielding first,2009-2019,7,,,,-,,,,,,,,,False,,False,False
Tournament Type,2 team series,2008-2026,412,485.0,56.0,22112.0,254*,51.54,29184.0,75.76,71.0,103.0,33.0,2221.0,241.0,True,254.0,False,True
Tournament Type,3-4 team tournaments,2009-2015,37,37.0,5.0,1459.0,183,45.59,1646.0,88.63,5.0,7.0,2.0,134.0,7.0,False,183.0,False,True
Tournament Type,5+ team tournaments,2009-2025,164,190.0,35.0,7526.0,254*,48.55,9926.0,75.82,14.0,51.0,13.0,733.0,89.0,True,254.0,False,True
In Major Trophies,World Cup,2011-2023,37,37.0,7.0,1795.0,117,59.83,2035.0,88.2,5.0,12.0,1.0,159.0,14.0,False,117.0,False,True
In Major Trophies,Asia Cup (ODI),2010-2023,16,13.0,1.0,742.0,183,61.83,744.0,99.73,4.0,1.0,0.0,70.0,7.0,False,183.0,False,True
In Major Trophies,Border-Gavaskar,2011-2025,29,51.0,2.0,2169.0,186,44.26,4183.0,51.85,9.0,5.0,3.0,233.0,7.0,False,186.0,False,True
In Major Trophies,ICC Champions Trophy,2009-2025,18,17.0,7.0,747.0,100*,74.7,836.0,89.35,1.0,6.0,1.0,68.0,8.0,True,100.0,False,True
In Major Trophies,ICC World Test Champ,2019-2025,46,79.0,5.0,2617.0,254*,35.36,5059.0,51.72,5.0,11.0,7.0,296.0,11.0,True,254.0,False,True
In Major Trophies,Men's T20 Asia Cup,2016-2022,10,9.0,4.0,429.0,122*,85.8,325.0,132.0,1.0,3.0,1.0,40.0,11.0,True,122.0,False,True
In Major Trophies,Men's T20 World Cup,2012-2024,35,33.0,11.0,1292.0,89*,58.72,1003.0,128.81,0.0,15.0,2.0,111.0,35.0,True,89.0,False,True
In Finals,tournament finals,2009-2025,16,17.0,2.0,523.0,77,34.86,678.0,77.13,0.0,3.0,0.0,47.0,7.0,False,77.0,False,True
In Finals,tournament semi-finals,2011-2025,11,11.0,4.0,586.0,117,83.71,533.0,109.94,1.0,6.0,0.0,51.0,8.0,False,117.0,False,True
In Finals,tournament quarter-finals,2011-2015,2,2.0,0.0,27.0,24,13.5,41.0,65.85,0.0,0.0,0.0,1.0,0.0,False,24.0,False,True
In Finals,preliminary matches,2009-2025,172,197.0,34.0,7849.0,254*,48.15,10320.0,76.05,18.0,49.0,15.0,768.0,81.0,True,254.0,False,True
Batting Position,1st position,2008-2022,9,9.0,0.0,234.0,54,26.0,242.0,96.69,0.0,1.0,0.0,33.0,3.0,False,54.0,False,True
Batting Position,2nd position,2008-2024,15,15.0,2.0,483.0,122*,37.15,395.0,122.27,1.0,3.0,2.0,45.0,16.0,True,122.0,False,True
Batting Position,3rd position,2009-2026,329,332.0,62.0,15919.0,183,58.95,15934.0,99.9,47.0,100.0,23.0,1472.0,232.0,False,183.0,False,True
Batting Position,4th position,2009-2025,154,216.0,21.0,9840.0,254*,50.46,15607.0,63.04,33.0,32.0,12.0,1029.0,61.0,True,254.0,False,True
Batting Position,5th position,2010-2024,32,37.0,4.0,1237.0,107,37.48,2394.0,51.67,3.0,7.0,1.0,141.0,7.0,False,107.0,False,True
Batting Position,6th position,2011-2020,8,12.0,1.0,453.0,116,41.18,813.0,55.71,1.0,3.0,2.0,46.0,3.0,False,116.0,False,True
Batting Position,7th position,2009-2011,5,5.0,1.0,49.0,27,12.25,50.0,98.0,0.0,0.0,0.0,6.0,0.0,False,27.0,False,True
Captain Status,is captain,2013-2022,213,250.0,35.0,12883.0,254*,59.92,16847.0,76.47,41.0,58.0,16.0,1280.0,138.0,True,254.0,False,True
Captain Status,is not captain,2008-2026,346,376.0,56.0,15332.0,186,47.91,18588.0,82.48,44.0,88.0,24.0,1492.0,184.0,False,186.0,False,True
